Time,CPU Util,GPU Util,MEM Util,CPU Temp,GPU Temp,CPU Power Consumption,GPU Power Consumption
12:03:37,19.31,12.0,0.63,46.5,43.0,1.34,0.08
12:03:39,25.66,0.0,0.63,47.0,43.5,1.38,0.08
12:03:42,25.66,31.1,0.63,46.5,43.5,1.46,0.16
12:03:44,19.31,0.0,0.63,46.5,43.0,1.34,0.08
12:03:47,19.31,0.0,0.63,46.0,43.0,1.3,0.08
12:03:49,25.66,37.7,0.63,46.5,43.5,1.47,0.12
12:03:52,25.66,32.6,0.63,47.0,43.5,1.46,0.16
12:03:54,19.31,0.0,0.63,46.5,43.0,1.3,0.08
12:03:57,19.31,0.0,0.63,46.0,43.5,1.3,0.08
12:03:59,25.67,33.1,0.63,47.0,43.5,1.58,0.16
12:04:02,25.66,0.0,0.63,46.5,43.5,1.38,0.12
12:04:04,19.31,4.8,0.63,47.0,43.5,1.3,0.08
12:04:07,19.31,0.0,0.63,46.5,43.5,1.14,0.08
12:04:09,25.67,0.0,0.63,46.5,43.5,1.34,0.08
12:04:12,25.66,0.0,0.63,46.5,43.5,1.3,0.08
12:04:15,19.31,37.7,0.63,47.0,43.5,1.54,0.12
12:04:17,19.31,0.0,0.63,47.0,43.0,1.47,0.12
12:04:20,25.66,6.8,0.63,46.5,43.5,1.34,0.08
12:04:22,25.66,0.0,0.63,47.0,43.5,1.3,0.08
12:04:25,19.31,33.1,0.63,47.0,43.5,1.5,0.12
12:04:27,19.31,31.0,0.63,47.0,43.5,1.54,0.16
12:04:30,25.66,0.0,0.63,47.5,43.5,1.38,0.08
12:04:32,25.66,0.0,0.63,47.0,43.5,1.34,0.08
12:04:35,19.31,1.9,0.63,46.5,43.5,1.47,0.12
12:04:37,19.31,34.0,0.63,47.0,43.5,1.58,0.16
12:04:40,25.66,3.7,0.63,46.5,43.0,1.38,0.08
12:04:42,25.66,12.6,0.63,46.5,43.5,1.34,0.08
12:04:45,19.31,0.0,0.63,47.0,43.5,1.38,0.08
12:04:47,19.31,32.5,0.63,47.0,43.5,1.58,0.16
12:04:50,25.65,0.0,0.63,46.5,43.5,1.3,0.08
12:04:52,25.65,0.0,0.63,46.5,43.5,1.34,0.08
12:04:55,19.31,33.0,0.63,47.0,43.0,1.58,0.16
12:04:57,19.31,0.0,0.63,47.5,43.0,1.34,0.12
12:05:00,25.66,2.2,0.63,46.5,43.5,1.34,0.08
12:05:02,25.66,0.0,0.63,47.0,43.5,1.34,0.08
12:05:05,19.31,4.6,0.63,47.0,43.5,1.42,0.08
12:05:07,19.31,32.4,0.63,46.5,43.5,1.5,0.16
12:05:10,25.66,0.0,0.63,46.5,43.0,1.34,0.08
12:05:12,25.66,0.0,0.63,46.5,43.5,1.34,0.08
12:05:15,19.31,0.0,0.63,47.5,43.5,1.42,0.08
12:05:17,19.31,33.1,0.63,46.5,43.5,1.54,0.16
12:05:20,25.66,0.0,0.63,46.5,43.0,1.3,0.08
12:05:22,25.66,0.0,0.63,46.5,44.0,1.3,0.08
12:05:25,19.31,0.0,0.63,46.5,43.5,1.34,0.08
12:05:27,19.31,38.6,0.63,47.0,43.5,1.58,0.16
12:05:30,25.66,0.0,0.63,46.5,43.5,1.47,0.12
12:05:32,25.66,0.0,0.63,47.0,43.5,1.34,0.08
12:05:35,19.31,0.0,0.63,47.5,43.5,1.34,0.08
12:05:37,19.31,0.0,0.63,46.5,43.5,1.38,0.08
12:05:40,25.66,0.0,0.63,46.5,43.5,1.3,0.12
12:05:42,25.66,0.0,0.63,47.0,43.5,1.3,0.08
12:05:45,19.31,36.0,0.63,46.5,43.5,1.46,0.12
12:05:47,19.31,29.3,0.63,47.0,43.5,1.54,0.16
12:05:50,25.65,0.0,0.63,46.5,43.5,1.34,0.08
12:05:52,25.66,0.0,0.63,46.5,43.5,1.34,0.08
12:05:55,19.31,22.6,0.63,46.5,44.0,1.47,0.12
12:05:57,19.31,32.7,0.63,47.0,43.5,1.54,0.16
12:06:00,25.65,0.0,0.63,46.0,43.5,1.34,0.08
12:06:02,25.65,0.0,0.63,47.0,43.5,1.34,0.08
12:06:05,19.31,0.0,0.63,47.0,43.5,1.38,0.08
12:06:07,19.31,32.1,0.63,47.0,43.5,1.58,0.16
12:06:10,25.65,0.0,0.63,46.5,43.5,1.3,0.08
12:06:12,25.65,0.0,0.63,47.0,44.0,1.34,0.08
12:06:15,19.31,0.0,0.63,47.0,43.5,1.34,0.08
12:06:17,19.31,0.0,0.63,47.0,43.5,1.38,0.08
12:06:20,25.65,29.6,0.63,47.0,44.0,1.62,0.16
12:06:22,25.65,3.0,0.63,47.0,43.5,1.46,0.12
12:06:25,19.31,0.0,0.63,46.5,44.0,1.34,0.08
12:06:27,19.31,4.6,0.63,47.0,43.5,1.46,0.12
12:06:30,25.65,0.0,0.63,46.5,44.0,1.26,0.08
12:06:32,25.65,0.0,0.63,46.0,43.5,1.34,0.08
12:06:35,19.31,0.0,0.63,46.5,43.5,1.34,0.08
12:06:37,19.31,4.6,0.63,47.0,43.5,1.46,0.12
12:06:40,25.65,0.0,0.63,47.0,43.5,1.34,0.08
12:06:42,25.66,0.0,0.63,47.0,43.5,1.34,0.08
12:06:45,19.31,0.0,0.63,47.0,43.5,1.3,0.08
12:06:47,19.31,0.0,0.63,46.0,43.5,1.38,0.08
12:06:50,25.66,22.6,0.63,46.5,43.5,1.54,0.16
12:06:52,25.66,0.0,0.63,46.0,43.5,1.3,0.08
12:06:55,19.31,17.9,0.63,47.0,43.5,1.38,0.08
12:06:57,19.31,2.5,0.63,48.0,43.5,1.34,0.08
12:07:00,25.66,39.0,0.63,48.0,43.5,1.5,0.16
12:07:02,25.66,29.3,0.63,47.5,43.5,1.5,0.16
12:07:05,19.31,0.0,0.63,47.5,43.5,1.34,0.08
